	colon_polyA_3	colon_polyA_4	colon_polyA_1	colon_polyA_2	colon_total_3	colon_total_4	colon_total_1	colon_total_2	pbmc_polyA_3	pbmc_polyA_4	pbmc_polyA_1	pbmc_polyA_2	pbmc_total_3	pbmc_total_4	pbmc_total_1	pbmc_total_2
DNAH12	839	1216	1846	1486	453	941	335	538	4127	3242	3851	3521	402	778	409	151
PDE12	103989	105827	109743	103318	110983	96501	92790	93536	59487	55796	62564	56355	63377	55903	60448	49345
ARF4	179837	195608	188346	198178	458914	430698	402018	409682	51954	46848	50894	53529	245168	231555	245623	238923
DENND6A	108560	110922	107261	114574	130669	107427	111882	111199	75221	69952	72192	70830	70348	70279	69204	58968
SLMAP	424157	427652	407481	453141	392760	360467	361627	354998	120236	103859	106027	107139	65139	60457	67456	54312
FLNB	1444183	1349579	1477115	1345790	1242989	1347396	1324010	1366989	73551	70665	78969	73680	101602	108908	107464	104242
DNASE1L3	18644	18099	18673	15066	27694	24724	26836	26051	1914	1739	1860	1993	4359	7968	5271	5932
ABHD6	201596	195967	198341	199426	339486	337527	335046	332457	10079	13761	13743	13201	26702	29645	27718	29876
HTD2	49859	49892	49109	51932	49930	46208	50617	53275	14468	17475	16261	13863	22552	22444	19231	18739
RPP14	123699	128532	125840	133722	145874	139034	138567	139396	41909	46800	46121	42824	69400	68299	63696	62110
PXK	45398	40563	39307	45254	52867	51205	51969	53679	49863	48440	58732	53156	136769	134236	136084	131231
PDHB	103813	109346	105097	107726	163804	166806	153693	159582	54062	51738	57243	57102	177355	171546	182005	171594
KCTD6	12888	14391	11302	12692	24393	21287	20513	20437	12194	11685	10877	13779	29932	27014	28605	23471
ACOX2	74512	74111	83557	81205	173242	187246	188655	193590	2514	2037	2466	2268	3825	2730	3457	2398
FAM107A	50315	46494	53015	47209	146678	156996	154459	155349	756	978	1814	521	1588	3455	1805	2572
FAM3D	137225	124552	136601	126589	255272	267934	259681	274780	1792	1772	1874	3066	5573	4712	5755	5582
CFAP20DC	409	303	531	663	76	218	292	225	2593	2695	2982	2340	200	74	526	148
FHIT	10026	10676	9802	10400	20651	17717	19147	19091	12648	14594	14108	13513	86858	81339	74357	70491
PTPRG	169847	168691	166787	180835	121697	115017	109228	108098	4702	5186	5314	4737	1939	1803	2471	1381
C3orf14	1354	1720	1886	1757	3732	2598	2685	4063	2665	1515	1733	2495	3811	3005	4770	3833
FEZF2	0	0	0	0	0	0	0	0	150	561	368	208	0	0	0	0
CADPS	33939	33014	32214	33057	28540	26831	28238	27397	3936	3866	4314	3927	917	378	679	444
SYNPR	471	341	379	168	226	227	0	293	1003	654	569	595	0	0	0	0
SNTN	0	72	75	223	225	286	75	151	1370	1400	828	1949	0	148	0	0
C3orf49	2283	1952	2455	1984	698	532	371	765	2681	2423	1916	1935	76	208	0	76
THOC7	56514	54389	54051	49944	121991	116915	115227	114105	11941	9657	9413	8663	53779	58548	57122	48822
ATXN7	123167	118580	124169	126157	139714	124142	121417	130918	178436	170285	168547	169212	98414	95932	98647	98430
PSMD6	104261	103431	99809	106578	164892	148966	148119	142565	114483	105573	117326	118228	206236	189378	191536	190258
PRICKLE2	54432	49467	53665	52857	52602	48561	51130	48725	5086	4901	4470	4946	1943	1752	833	2341
ADAMTS9	12258	10443	12407	13329	9442	8696	9371	7873	2109	2845	2680	2257	893	75	563	75
MAGI1	148543	147660	155384	160121	168262	164611	165873	163020	5402	5308	5659	5631	1933	2038	2276	1637
LRIG1	136967	128761	146858	132935	189522	176227	183750	183741	40432	37267	39339	41708	56643	57515	62892	56778
KBTBD8	17987	20153	20017	19750	16698	12301	12752	11933	14138	15254	13463	14034	9148	7761	8023	8079
SUCLG2	373552	366452	361661	412035	637819	508494	511258	496342	59351	51607	55877	55844	83088	80895	79784	73874
TAFA1	280	226	293	0	603	692	453	373	2439	3246	2904	2068	2158	2560	2685	2581
TAFA4	226	0	76	151	76	0	221	155	351	1124	861	822	0	0	0	0
EOGT	47193	46514	43700	44432	50273	46585	45596	47201	8856	10666	10829	11112	11591	13820	10434	10038
TMF1	277184	280916	290663	328643	241604	204822	199497	195694	122943	114397	113320	113775	62170	56187	57394	52650
UBA3	99384	104882	98446	105289	169737	142447	141356	136845	98832	97359	90266	87021	141919	129056	126970	133628
ARL6IP5	228476	229346	226695	224091	425422	394218	372361	370850	190535	188472	195260	187865	586963	559684	558490	534737
